run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8350,small_world,inv_degree,8425192,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7699999999999997,0.4899999999999993,0.13499999999999976,0.0
8351,small_world,inv_degree,8426201,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7800000000000008,0.46500000000000036,0.1300000000000001,0.0
8352,small_world,inv_degree,8427210,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7649999999999999,0.3749999999999998,0.08000000000000002,0.0
8353,small_world,inv_degree,8428219,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7299999999999996,0.3666666666666666,0.07333333333333336,0.0
8354,small_world,inv_degree,8429228,100,300,0.03,3,0.45,0.1,50,0.15,9,0.7100000000000007,0.3900000000000002,0.02999999999999997,0.0
8355,small_world,inv_degree,8430237,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7724999999999997,0.34249999999999975,0.07749999999999993,0.0
8356,small_world,inv_degree,8431246,100,300,0.03,3,0.45,0.1,50,0.06,3,0.7500000000000001,0.3700000000000003,0.04500000000000001,0.0
8357,small_world,inv_degree,8432255,100,300,0.03,3,0.45,0.1,50,0.07,4,0.7000000000000002,0.4100000000000004,0.050000000000000044,0.0
8358,small_world,inv_degree,8433264,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8,0.4150000000000002,0.07000000000000003,0.0
8359,small_world,inv_degree,8434273,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8099999999999999,0.5999999999999999,0.31999999999999995,0.0
8360,small_world,inv_degree,8435282,100,300,0.03,3,0.45,0.1,50,0.03,0,0.77,0.3850000000000002,0.02500000000000002,0.0
8361,small_world,inv_degree,8436291,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8000000000000002,0.45000000000000034,0.05500000000000008,0.0
8362,small_world,inv_degree,8437300,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7500000000000002,0.4300000000000004,0.12000000000000023,0.0
8363,small_world,inv_degree,8438309,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8199999999999997,0.46999999999999986,0.04999999999999998,0.0
8364,small_world,inv_degree,8439318,100,300,0.03,3,0.45,0.1,50,0.05,2,0.8200000000000012,0.49500000000000055,0.10000000000000006,0.0
8365,small_world,inv_degree,8440327,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7750000000000006,0.3500000000000001,0.07500000000000001,0.0
8366,small_world,inv_degree,8441336,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7950000000000003,0.2900000000000003,0.0,0.0
8367,small_world,inv_degree,8442345,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7299999999999994,0.41499999999999954,0.08999999999999987,0.0
8368,small_world,inv_degree,8443354,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8150000000000002,0.5650000000000003,0.26000000000000034,0.0
8369,small_world,inv_degree,8444363,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7550000000000002,0.3250000000000005,0.11000000000000015,0.0
