run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,alpha,final_adoption,steps_to_converge,xi
196,random,uniform,197806,100,281,0.03,3,0.45,0.1,50,1.5,0.05,1,0.744791388465067
197,random,uniform,198815,100,249,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8064128070815092
198,random,uniform,199824,100,249,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8399390831322263
199,random,uniform,200833,100,248,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7021714930144413
200,random,uniform,201842,100,240,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7868852976396861
201,random,uniform,202851,100,226,0.03,3,0.45,0.1,50,1.5,0.05,1,0.803722985897538
202,random,uniform,203860,100,220,0.03,3,0.45,0.1,50,1.5,0.05,1,0.8018929058855565
203,random,uniform,204869,100,259,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8113468205536576
204,random,uniform,205878,100,223,0.03,3,0.45,0.1,50,1.5,0.05,2,0.8030485647512902
205,random,uniform,206887,100,265,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7549516849311229
206,random,uniform,207896,100,223,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7773619058741338
207,random,uniform,208905,100,271,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7354155832015421
208,random,uniform,209914,100,234,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8441573528538704
209,random,uniform,210923,100,239,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8411511728301904
210,random,uniform,211932,100,266,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7383420700305314
211,random,uniform,212941,100,255,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7239690703775247
212,random,uniform,213950,100,241,0.03,3,0.45,0.1,50,1.5,0.08,2,0.7195811936063764
213,random,uniform,214959,100,245,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7593952501750111
214,random,uniform,215968,100,269,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7632352101255887
215,random,uniform,216977,100,267,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7665794213406617
216,random,uniform,217986,100,243,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7332069016446728
217,random,uniform,218995,100,223,0.03,3,0.45,0.1,50,1.5,0.09,2,0.7207058292267067
218,random,uniform,220004,100,246,0.03,3,0.45,0.1,50,1.5,0.05,2,0.7750348658558447
219,random,uniform,221013,100,255,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8175630667695252
220,random,uniform,222022,100,231,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7651147512174075
221,random,uniform,223031,100,222,0.03,3,0.45,0.1,50,1.5,0.07,1,0.7627946313475423
222,random,uniform,224040,100,211,0.03,3,0.45,0.1,50,1.5,0.12,2,0.6949289126528426
223,random,uniform,225049,100,248,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7805616862406414
224,random,uniform,226058,100,264,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7833962393384282
225,random,uniform,227067,100,251,0.03,3,0.45,0.1,50,1.5,0.05,1,0.782848552604735
226,random,uniform,228076,100,252,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8183522779020987
227,random,uniform,229085,100,230,0.03,3,0.45,0.1,50,1.5,0.06,2,0.7800143433298571
228,random,uniform,230094,100,246,0.03,3,0.45,0.1,50,1.5,0.07,2,0.7398415033977639
229,random,uniform,231103,100,257,0.03,3,0.45,0.1,50,1.5,0.04,1,0.8168033114585681
230,random,uniform,232112,100,226,0.03,3,0.45,0.1,50,1.5,0.1,1,0.7100703172109998
231,random,uniform,233121,100,233,0.03,3,0.45,0.1,50,1.5,0.06,1,0.7962852407724786
232,random,uniform,234130,100,233,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7939516285655052
233,random,uniform,235139,100,284,0.03,3,0.45,0.1,50,1.5,0.03,0,0.8268686807570808
234,random,uniform,236148,100,251,0.03,3,0.45,0.1,50,1.5,0.05,1,0.7872270059718381
